python,英 [?pa?θ?n]美 [?pa?θɑn],n. 巨蛇，大蟒;
pseudo,英 ['sju:d??]美 ['sudo?],adj. 假的，虚伪的; n. [口]假冒的人，伪君子;
readable,英 [?ri:d?bl]美 [?rid?b?l],adj. 易读的; 易懂的;
concept,英 [?k?nsept]美 [?kɑnsept],n. 观念，概念; 观点; 思想，设想，想法; 总的印象;
pixel,"英 [?p?ksl]美 [?p?ks?l, -?s?l]",n. （显示器或电视机图像的）像素;
compared,英 [k?m?pe?d]美 [k?m?p?rd],adj. 比较的，对照的;
macro,英 [?m?kr??]美 [?m?kro?],n. [自]宏指令; 巨（计算机术语）; adj. 巨大的; 大量使用的; 特别突出的; 极厚的;
headline,英 [?hedla?n]美 [?hedla?n],n. 头条新闻; 大字标题; 新闻提要; vt. 给…加标题; 担任主角;
permutation,英 [?p?:mju?te??n]美 [?p?rmju?te??n],n. （一组事物可能的一种）序列，排列，排列中的任一组数字或文字;
pocket,英 [?p?k?t]美 [?pɑk?t],n. 口袋，钱袋; 金钱，财富; 容器; 凹处; vt. 隐藏; 放进口袋; 私吞，盗用; 忍受; 
composition,英 [?k?mp??z??n]美 [?kɑmp??z??n],n. 作文，作曲; 创作; 构图，布置; 妥协，和解;
signed,英 [sa?nd]美 [sa?nd],adj. 有符号的，有正负之分的;
conjugate,英 [?k?nd??ge?t]美 [?kɑnd??ge?t],vt. 使结合; 使配合; vi. 结合; 配合; adj. 共轭的; 结合的; 成对的; 配合的;
expand,英 [?k?sp?nd]美 [?k?sp?nd],vt. 扩张; 使…变大; 详述; vi. 扩展; 展开; 发展; 张开;
relevant,英 [?rel?v?nt]美 [?r?l?v?nt],adj. 有关的，中肯的; 相关联的; 确切的; 有重大意义[作用]的，实质性的;
cumulative,英 [?kju:mj?l?t?v]美 [?kjumj?le?t?v],adj. 累积的; 渐增的; 追加的; （判刑等）加重的;
suitable,英 [?su:t?bl]美 [?sut?b?l],adj. 合适的，适当的，适宜的，恰当的;
significant,英 [s?g?n?f?k?nt]美 [s?ɡ?n?f?k?nt],adj. 重要的; 有意义的; 有重大意义的; 值得注意的; n. 有意义的事物; 象征，标志;
largest,英 ['la:d??st]美 ['lad??st],adj. 大的，多量的; 大的( large的最高级 ); 大规模的; 众多的; （服装、食物、日用
coordinate,英 [k??'?:d?ne?t]美 [ko'?rd??net],vt. 使协调，使调和; 整合; 使（身体各部份）动作协调; （衣服、布料等）搭配; vi. 协调;
watch,英 [w?t?]美 [wɑt?],vt. 注视，注意; 看守，监视; 守候（机会等）; 密切注意; n. 表; 值夜，值班; 看守，监
neural,英 [?nj??r?l]美 [?n?r?l],adj. 神经的; 背的，背侧的;
digit,英 [?d?d??t]美 [?d?d??t],n. 数字; 手指，足趾; 一指宽;
animal,英 [??n?ml]美 [??n?m?l],n. 动物，兽，牲畜; <俚>家畜，牲口; <俚>畜生（一般的人）; 兽性; adj. 动物的; 肉
classification,英 [?kl?s?f??ke??n]美 [?kl?s?f??ke??n],n. 分类; 分级; 类别; （动植物等的）分类学;
additionally,英 [?'d???n?l?]美 [?'d???n?l?],adv. 此外;
prime,英 [pra?m]美 [pra?m],adj. 最好的; 首要的; 最初的; 基本的; n. 精华; 初期; 全盛时期; 青年; vt. 
equality,英 [i?kw?l?ti]美 [i?kwɑl?ti],n. 同等，平等; [数]相等，等式;
experience,英 [?k?sp??ri?ns]美 [?k?sp?ri?ns],n. 经验，体验; 经历，阅历; vt. 感受; 亲身参与，亲身经历; 发现;
concrete,英 [?k??kri:t]美 [?kɑ?krit],adj. 具体的，有形的，实在的，实际的; 固结成的，混凝土制的; 图案诗歌的; n. 混凝土; 具
registered,英 ['red??st?d]美 [?r?d??st?d],adj. 注册的; 登记过的; 已挂号的; （动物）附有血统证明的; v. 注册; 登记; 记录; 
oracle,英 [??r?kl]美 [??r?kl],n. 神谕; 神示所; 圣贤; 哲人;
prevent,英 [pr??vent]美 [pr??v?nt],vt. 预防; 阻止; 阻碍; [宗教]引领; vi. 阻挠，阻止;
nester,英 ['nest?]美 ['nest?],n. 试验筛组的单位筛;
deploy,英 [d??pl??]美 [d??pl??],vt.&vi. （尤指军事行动）使展开; 施展; 有效地利用;
computation,英 [?k?mpju?te??n]美 [?kɑmpju?te??n],n. 计算，估计;
histogram,英 [?h?st?gr?m]美 [?h?st??ɡr?m],n. 柱状图;
closing,英 [?kl??z??]美 [?klo?z??],adj. 结尾的; 结束的; n. 终结; 结尾辞; v. close（关闭）的现在分词形式;
couple,英 [?k?pl]美 [?k?p?l],n. 对，双; 配偶，夫妻; <口>几个，两三个; vt.&vi. 连在一起，连接; 成双，结婚; 
failure,英 [?fe?lj?(r)]美 ['fe?lj?r],n. 失败，不及格; 缺乏，不足; 破产，倒闭; 失败的事，失败者;
achieve,英 [??t?i:v]美 [??t?iv],vt. 实现; 取得; 获得; 成功; vi. 达到预期的目的，实现预期的结果，如愿以偿;
protection,英 [pr??tek?n]美 [pr??t?k??n],n. 保护; 护照; [经]保护贸易制，保护政策; （向歹徒缴纳的）保护费;
biology,英 [ba???l?d?i]美 [ba??ɑl?d?i],n. 生物学; 生物;
sister,英 [?s?st?(r)]美 [?s?st?],n. 姐妹; 修女; （称志同道合者）姐妹; 护士; adj. 姐妹般的; 同类型的; v. 如姐妹
fixture,英 [?f?kst??(r)]美 [?f?kst??],n. （房屋等的）固定装置; [商]定期放款，定期存款; 固定在某位置的人或物; （定期定点举行的）
hence,英 [hens]美 [h?ns],adv. 从此; 因此，所以; 从此处; int. <诗>去;
construction,英 [k?n?str?k?n]美 [k?n?str?k??n],n. 建造; 建筑物; 解释; 建造物;
albeit,"英 [??:l?bi:?t]美 [?l?bi?t, ?l-]",conj. 虽然; 即使;
plural,英 [?pl??r?l]美 [?pl?r?l],adj. 复数的; n. 复数; 复数形式; 复数词;
reuse,英 [?ri:?ju:z]美 [ri?juz],vt. 再用，重新使用; n. 再用，重新使用;
wrote,英 [r??t]美 [rot],v. 写信; 写( write的过去式 );
discrete,英 [d??skri:t]美 [d??skrit],adj. 分离的，不相关联的; 分立式; 非连续;
counting,英 ['ka?nt??]美 ['ka?nt??],n. 计算; v. （按顺序）数( count的现在分词); 有价值; 数出总数; 算得上;
failed,英 [fe?ld]美 [feld],adj. 失败了的，不成功的; v. 在…中失败( fail的过去式和过去分词 ); 衰退; 衰弱;
technology,英 [tek?n?l?d?i]美 [tek?nɑl?d?i],n. 科技（总称）; 工业技术; 工艺学; [总称]术语;
recommend,英 [?rek??mend]美 [?r?k??m?nd],vt. 推荐; 劝告; 使显得吸引人; 托付; vi. 推荐; 建议;
reporter,英 [r??p?:t?(r)]美 [r??p?rt?(r)],n. 记者;
dependency,英 [d??pend?nsi]美 [d??pend?nsi],n. 属国，属地; 从属，从属物;
briefly,英 [?bri:fli]美 [?bri?fli],adv. 简单地; 短暂地; 简略地; 略略;
formed,英 ['f?:md]美 ['f?md],adj. 成形的，成形加工的; v. 形成，构成，产生( form的过去式和过去分词 ); 是; （
flatten,英 [?fl?tn]美 [?fl?tn],vt.& vi. 变平，使（某物）变平; 打倒，击倒; 使失去光泽;
latex,英 [?le?teks]美 [?le?t?ks],n. 胶乳，（尤指橡胶树的）橡浆; 人工合成胶乳（用以制作油漆、粘合剂和织物）;
resolution,英 [?rez??lu:?n]美 [?r?z??lu??n],n. 分辨率; 解决; 决心; 坚决;
crawl,英 [kr?:l]美 [kr?l],vi. 爬行; 缓慢行进; 巴结; n. 缓慢的爬行; 〈美俚〉跳舞，自由式游泳; 养鱼（龟）池;
mostly,英 [?m??stli]美 [?mo?stli],adv. 大部分，多半; 主要地; 基本上; 通常;
parallel,英 [?p?r?lel]美 [?p?r??l?l],adj. 平行的; 相同的，类似的; [电]并联的; [计]并行的; adv. 平行地，并列地; n
plotting,英 ['pl?t??]美 ['pl?t??],n. 测绘，标图; v. 绘制; 密谋( plot的现在分词 ); 把…分成小块; 为（文学作品）设
blocking,英 ['bl?k??]美 ['bl?k??],n. 舞台场面设计; 舞台调度; 舞台场面调度设计; 模块化; v. 阻碍; 堵塞( block的现
matched,英 [m?t?t]美 [m?t?t],adj. 相配的; 敌得过的; v. 敌得过，和…相配(match的过去式和过去分词);
research,英 [r??s?:t?]美 [r??s?rt?],n. 调查; 探索; 研究，追究; 探讨，探测; vi. 做研究; 探究; （从市场调研中）得出所预
radio,英 [?re?di??]美 [?re?dio?],n. 无线电; 收音机; 无线电广播台; 无线电收发报机; vt.& vi. 用无线电发送讯息; 作
intercept,英 [??nt??sept]美 [??nt?r?sept],vt. 截击; 拦截，拦住; 截球; 拦阻; n. （数学）截距; 截击，拦截; 截听; 拦截者;
enterprise,英 [?ent?pra?z]美 [?ent?rpra?z],n. 企（事）业单位; 事业，计划; 事业心，进取心;
predicate,英 [?pred?k?t]美 ['pred?k?t],vt. 断言，断定; 宣布，宣讲; 使基于; vi. 断言，断定; n. 谓语; 述语; adj. 
statistical,英 [st?'t?st?kl]美 [st??t?st?k?l],adj. 统计的; 统计学的;
stable,英 [?ste?bl]美 [?steb?l],adj. 稳定的; 沉稳[持重]的; [物理学]稳定平衡的; 持久的; n. 厩，马厩，马棚，牛棚;
pivot,英 [?p?v?t]美 [?p?v?t],n. 枢轴; 中心点，中枢; [物]支点，支枢; [体]回转运动; vi. 在枢轴上转动; 随…转移
bisect,英 [ba??sekt]美 [ba?'sekt],vt. 把…一分为二，把…二等分; 与…相交叉;
situation,英 [?s?t?u?e??n]美 [?s?t?u?e??n],n. （人的）情况; 局面，形势，处境; 位置; [心理学]情境
compiler,英 [k?m?pa?l?(r)]美 [k?m?pa?l?],n. 汇编者; 编辑者; 编纂者; （电脑的）编译程序;
friendly,英 [?frendli]美 [?fr?ndli],adj. 友好的，亲密的; 有帮助的; 互助的; n. 友谊赛;
contact,英 [?k?nt?kt]美 [?kɑnt?kt],n. 接触; 触点; [医]（传染病）接触人; 门路; vt. 使接触; 与…联系; 与…通讯（或通
bootstrap,英 [?bu:tstr?p]美 ['butstr?p],n. 引导程序; 解靴带; 靴袢; 自益;
celery,英 [?sel?ri]美 [?s?l?ri],n. 芹菜; 香芹粉; 芹菜籽;
fairly,英 [?fe?li]美 [?ferli],adv. 公平地; 适当，相当地; 完全，简直; 清楚地;
nature,英 [?ne?t??(r)]美 [?net??],n. 自然; 天性; 天理; 类型;
asynchronous,英 [e??s??kr?n?s]美 [e's??kr?n?s],adj. 异步的;
payload,英 [?pe?l??d]美 [?pe?lo?d],n. 有效载荷; （航天器、卫星的）装备; （车辆等的）装载货物; （炸弹、导弹的）爆炸力;
multiply,英 [?m?lt?pla?]美 [?m?lt??pla?],vt.& vi. 乘; （使）相乘; （使）增加; （使）繁殖; adv. 多样地; 复合地; 多倍
chosen,英 [?t???zn]美 [?t?o?zn],adj. 挑选出来的，精选的; <宗>上帝所选的; v. 选择; 选定; 挑选( choose的过去
tester,英 [?test?(r)]美 [?t?st?],n. 测试员; 检测器; 华盖;
membership,英 [?memb???p]美 [?memb?r??p],n. 会员资格; 会员身份; 会员全体;
quant,英 [kw?nt]美 [kw?nt],n. （诺福克郡等处驳船上用的一头带有凸起以防陷入泥中的）篙; vt. 用篙撑（船）;
derive,英 [d??ra?v]美 [d??ra?v],vt.& vi. 得到，导出; 源于，来自; （从…中）提取;
runner,英 [?r?n?(r)]美 [?r?n?],n. [体育运动]赛跑者; [棒球]跑垒者，[橄榄球]带球者; 逃亡者; 送信人，跑腿者;
ravel,英 [?r?vl]美 [?r?v?l],vt.& vi. 使纠缠，变得错综复杂; vt. 磨损;
coefficient,英 [?k????f??nt]美 [?ko???f??nt],n. 系数; （测定某种质量或变化过程的）率; 程度; 协同因素; adj. 共同作用的; 合作的;
playhouse,英 [?ple?hɑ?s]美 [?ple?ha?s],n. 剧场，戏院; 儿童游戏馆;
device,英 [d??va?s]美 [d??va?s],n. 装置，设备; 方法; 策略; 手段;
understanding,英 [??nd??st?nd??]美 [??nd?r?st?nd??],vt. 谅解; 理解，懂得; 熟知，通晓; 获知，理解; vi. 理解，懂得; 表示同情或谅解; 据
switch,英 [sw?t?]美 [sw?t?],n. 开关; 转换，转换器; 软鞭子; [信]接线台; vt.& vi. 转换; 转变，改变; 关闭
multidimensional,英 [?m?lt?da?'men??nl]美 [?m?lt?da?'men??nl],adj. 多面的，多维的;
continuous,英 [k?n?t?nju?s]美 [k?n?t?nju?s],adj. 连续的; 延伸的; 绵; 联绵;
brief,英 [bri:f]美 [brif],adj. 短暂的; （衣着）短的; 简洁的; 简明的; vt. 向…介绍基本情况; （尤指事前）向…
determined,英 [d??t?:m?nd]美 [d??t?rm?nd],adj. 确定的; 坚定的; 毅然的; v. 确定; 决定; （使）下决心，（使）做出决定( det
customer,英 [?k?st?m?(r)]美 [?k?st?m?],n. 顾客，客户; 主顾; <口>家伙;
recreation,英 [?rekri?e??n]美 [?r?kri?e??n],n. 消遣（方式）; 娱乐（方式）; 重建，重现;
uppercase,英 ['?p??ke?s]美 ['?p??ke?s],n. 大写字母盘; vt. 以大写字母印刷; adj. 大写字母的;
widely,英 [?wa?dli]美 [ ?wa?dl?],adv. 广泛地; 普遍地; 到处; 大量地;
atomic,英 [??t?m?k]美 [??tɑm?k],adj. 原子的; 原子能的，原子武器的; 极微的;
solely,英 [?s??lli]美 [?so?lli],adv. 仅仅; 纯粹; 唯一地; 独一无二地;
accuracy,英 [??kj?r?si]美 [??kj?r?si],n. 精确（性），准确（性）;
brain,英 [bre?n]美 [bren],n. 脑; 智慧; 聪明的人; （群体中）最聪明的人; vt. 打破…的脑袋; 打…的头部;
describe,英 [d??skra?b]美 [d??skra?b],vt. 叙述; 描写，形容; 描绘，作图; （行星等）周转;
female,英 [?fi:me?l]美 [ ?fi?mel],adj. 女性的; 雌性的; 能结果实的; 电气设备阴的; n. 女人; 雌性动物; 雌性植物，雌株
traversal,英 [tr?'v?:sl]美 ['tr?v?s?l],n. 横越，横断物，（横向）往返移动;
trigger,英 [?tr?g?(r)]美 [?tr?ɡ?],n. （枪）扳机; 起动装置，扳柄; 引发其他事件的一件事; [电子学]触发器，触发电器; vt. 
impact,英 [??mp?kt]美 [??m?p?kt],n. 影响; 碰撞，冲击，撞击; 冲击力; vt. 撞击; 挤入，压紧; 对…产生影响; vi. 产
implied,英 [?m'pla?d]美 [?m'pla?d],adj. 暗指的，含蓄的; v. 暗示，暗指( imply的过去式和过去分词 ); 必然包含; 说明
decision,英 [d??s??n]美 [d??s???n],n. 决定; 决议; 果断; （法院的）判决; vt. [口语][拳击]靠判定击败（对手）;
delegation,英 [?del??ge??n]美 [?d?l??ɡe??n],n. 授权; 委派; 代表（团）;
obvious,英 [??bvi?s]美 [?ɑbvi?s],adj. 明显的; 显著的; 平淡无奇的; 自明;
quote,英 [kw??t]美 [kwo?t],vt.& vi. 引述，引用; vt. 报价; 引述; vi. 引用; n. 报价; 引用; 引号;
terry,英 [?teri]美 [?t?ri],n. 毛巾布; （用以做毛巾的）毛圈棉织物;
indented,英 [?n?dent?d]美 [?n?d?nt?d],adj. 锯齿状的; （印刷，原稿等）缩进排印的; 受契约约束的; v. 切割…使呈锯齿状( ind
explain,英 [?k?sple?n]美 [?k?splen],vt.& vi. 讲解，解释; vt. 说明…的原因，辩解; vi. 说明，解释，辩解;
collision,英 [k??l??n]美 [k??l???n],n. 碰撞; 冲突; （意见，看法）的抵触; （政党等的）倾轧;
indent,英 [?n?dent]美 [?n?dent],vt. 切割…使呈锯齿状; 缩进排版; n. （印刷中的）缩进; 订单，订购;
imaginary,英 [??m?d??n?ri]美 [??m?d??neri],adj. 幻; 虚幻; 想像中的，假想的，虚构的; [数]虚数的;
annotate,英 [??n?te?t]美 [??no?tet],vt.& vi. 注解，注释; n. 注释者;
scene,英 [si:n]美 [sin],n. 场面，现场; （戏剧的）一场; 景色，风景; 事件;
identify,英 [a??dent?fa?]美 [a??d?nt??fa?],vt. 确定; 识别，认出; 使参与; 把…看成一样; vi. 确定; 认同;
binding,英 [?ba?nd??]美 [?ba?nd??],n. 捆绑; （衣服等的）镶边; 粘合剂; 书籍的封面; adj. 捆绑的; 粘合的; （书面材料）
minute,英 ['m?n?t]美 [?m?n?t],n. 分，分钟; 瞬间，片刻; 备忘录; 会议记录; vt. 把…记录在案; 为…测定时间; adj
augmented,英 [?:g'ment?d]美 [?g'ment?d],adj. 增音的，扩张的;
photography,英 [f??t?gr?fi]美 [f??tɑgr?fi],n. 摄影，摄影术; 一组照片;
tombola,英 [t?m?b??l?]美 [tɑm?bo?l?],n. 纸牌赌博;
lives,英 [la?vz]美 [la?vz],n. 生命; 一生; 生命(life的复数); 生物，活物; 生活( life的名词复数 ); 生活
checkout,英 [?t?eka?t]美 [?t??k?a?t],n. 结帐; 检验，校验;
adder,英 [??d?(r)]美 [??d?],n. 加法器，（欧洲产）蝰蛇（小毒蛇），（北美产无毒的）猪鼻蛇;
median,英 [?mi:di?n]美 [?midi?n],adj. 中间的; 中央的; [数]中值的; n. 中位数; 中线; [数]中值;
scientific,英 [?sa??n?t?f?k]美 [?sa??n?t?f?k],adj. 科学的; 有系统的; 应用科学的; 精通学理的，有学问的;
differ,英 [?d?f?(r)]美 [?d?f?],vi. 不同，相异; 不同意，意见相左; 争吵;
unbound,英 ['?n'ba?nd]美 [?n?ba?nd],adj. 无束缚的; <正>不负有义务的; v. 解开，解放( unbind的过去式和过去分词 );
syntactic,英 [s?n?t?kt?k]美 [s?n?t?kt?k],adj. 句法的;
exclude,英 [?k?sklu:d]美 [?k'sklud],vt. 排斥; 排除，不包括; 驱除，赶出;
spark,英 [spɑ:k]美 [spɑrk],n. 电火花; 燃烧的颗粒; 火星，火花，余火; （金属的）发光的颗粒; vi. 发出火星，发出闪光
showing,英 [??????]美 [??o???],n. 放映; （电影、电视节目等的）展映; （在某事件中或某一期间的）表现; 表演; v. 表现出;
triangle,英 [?tra???gl]美 [?tra????ɡ?l],n. 三角形; 三人一组; 三角铁; 三角板;
marked,英 [mɑ:kt]美 [mɑrkt],adj. 显著的，著名的; 有记号的; 加印记的; 受监视的; v. 表示(mark的过去分词); 
interest,"英 [??ntr?st]美 [??ntr?st, -t?r?st, -?tr?st]",n. 利息; 兴趣，爱好; 利害关系，利益; 趣味，感兴趣的事; vt. 使产生兴趣; 使参与，使加
cloud,英 [kla?d]美 [kla?d],n. 云; 云状物; 一团; 阴影; vi. 布满云; 显得阴沉; 看起来忧愁）; vt. 使难以理
realistic,英 [?ri:??l?st?k]美 [?ri??l?st?k],adj. 现实的; 逼真的; [艺] 现实主义的，[哲]实在论（者）的; 栩栩如生的;
anonymous,英 [??n?n?m?s]美 [??nɑn?m?s],adj. 匿名的; 无名的; 假名的; 没有特色的;
finance,"英 [?fa?n?ns]美 [f??n?ns, fa?-, ?fa??n?ns]",n. 金融; 财政; 资金; 财源; vt. 为…供给资金， 从事金融活动; 赊货给…; 掌握财政;
christianity,"英 [?kr?sti??n?ti]美 [?kr?st?i??n?ti, ?kr?sti-]",n. 基督教; 基督教教义; 基督教徒;
identical,英 [a??dent?kl]美 [a??d?nt?k?l],adj. 同一的; 完全同样的，相同的; 恒等的; 同卵的; n. 完全相同的事物; 同卵双胞;
backward,英 [?b?kw?d]美 [?b?kw?rd],adj. 落后的; 向后的; 反向的; 怯生生的; adv. 向后地; 相反地; 回溯地;
delimiter,英 [d?'l?m?t?]美 [d?'l?m?t?],n. 定界符，分隔符;
turtle,英 [?t?:tl]美 [?t?rtl],n. [动]龟; [动]海龟; vi. 捕海龟，捕鳖; （船等）翻没，倾覆;
compress,英 [k?m?pres]美 [k?m?pr?s],vt. 压缩; 压紧; 精简; n. 止血敷布; 打包机;
embed,英 [?m'bed]美 [?m?b?d],vt.&vi. 把…嵌入; 栽种; 深留（记忆中）;
deployment,英 [d?'pl??m?nt]美 [d??pl??m?nt],n. 部署; 调度;
declared,英 [d??kle?d]美 [d??klerd],adj. 公告的，公然的; v. 宣布( declare的过去式和过去分词 ); 断言; 申报（收益
concatenate,英 [k?n'k?t?ne?t]美 [kɑn?k?t(?)?ne?t],vt. 把 （一系列事件、事情等）联系起来; adj. 连接的，联系在一起的;
rehash,英 [?ri:?h??]美 [ri?h??],vt. 改头换面; n. 用旧材料改编成的作品; 一味的重复;
developing,英 [d??vel?p??]美 [d??v?l?p??],adj. 开发; 发展中的; 显色; 显像;
probing,英 [?pr??b??]美 [?pro?b??],adj. 探索的; 寻根究底的; 寻求真理的; （问题）深入锐利的; v. 探索，用探针（或探测器等
family,英 [?f?m?li]美 [?f?mli],n. 家庭; 家族; 孩子; 祖先; adj. 家庭的; 一家所有的; 属于家庭的; 适合全家人的;
procedure,英 [pr??si:d??(r)]美 [pr??sid??],n. 程序，手续; 工序，过程，步骤; 诉讼程序，（议会的）议事程序; 〈罕〉进行;
talent,英 [?t?l?nt]美 [?t?l?nt],n. 天资，才能; 天才，人才; 塔兰特，古代的一种计量单位，可用来记重量或作为货币单位; <旧，非
